"filename", "language", "JavaScript", "Properties", "CSS", "XML", "Markdown", "TypeScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\el.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\en.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\es.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\eu.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\fa.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\fi.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\fr_FR.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\he_IL.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\hi.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\hr.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\hu_HU.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\id.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\it.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\ja.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\kk.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\ko_KR.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\ms.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\nb_NO.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\nl.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\pl.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\pt_BR.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\pt_PT.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\ro.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\ru.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\sk.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\sl_SI.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"c:\Users\iboab\OneDrive\Documents\GitHub\QickWebApp\public\tinymce\plugins\help\js\i18n\keynav\sv_SE.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
